NAMELSAD10,Longitude,Latitude,Electricity,Fertilizer,Food_Production,Food_waste,Natural_Gas,Pet_waste,Pet_food_production,Transportation,Wastewater
Census Tract 3423,-86.23782,39.7315,67549.8,219,6538615,74628.7,121417.5,27.6,31.1,6144.9,395.9
Census Tract 3424,-86.21834,39.73907,15319.2,4601.2,1506431,17193.7,30362.3,6.4,7.2,3848.3,95
Census Tract 3425,-86.23535,39.7564,48129.8,2789.7,4785996,54625.2,100117,20.2,22.7,5906.3,293.9
Census Tract 3426,-86.20436,39.75566,33018.5,2358,3261980,37230.7,65067.7,13.8,15.5,4069.9,227.6
Census Tract 3501,-86.19083,39.81191,15203.1,919.3,1515224,17294.1,32122.1,6.4,7.2,3848.3,76.2
Census Tract 3503,-86.15921,39.82114,43960.5,1135.5,4106051,46864.6,62290.2,17.3,19.5,3848.3,156.2
Census Tract 3504,-86.14449,39.82171,30416.9,1623.7,2995278,34186.7,59504.5,12.6,14.2,3848.3,164.9
Census Tract 3505,-86.12353,39.82151,26566.8,1796,2643582,30172.6,55762,11.2,12.6,3848.3,132.1
Census Tract 3506,-86.09628,39.8207,58964.3,1118,5896770,67303,126711.3,24.9,28,3848.3,323.3
Census Tract 3507,-86.10972,39.81446,19765.6,976.7,1966567,22445.5,41670.1,8.3,9.3,3848.3,95.9
Census Tract 3508,-86.13164,39.8142,22410.8,1035,2253785,25723.7,49617.8,9.5,10.7,3848.3,107.5
Census Tract 3509,-86.14576,39.81289,18546.9,1042.6,1840542,21007.1,38580.3,7.8,8.7,3848.2,94.3
Census Tract 3510,-86.15772,39.8136,31302.5,1372.1,3115440,35558.2,60725.3,13.2,14.8,3848.3,158.8
Census Tract 3512,-86.17453,39.80509,27671.6,2175.2,2690474,30707.8,51185.7,11.4,12.8,3848.3,163
Census Tract 3515,-86.15955,39.80591,23516.4,1509.1,2253785,25723.7,40207.6,9.5,10.7,3848.3,105.4
